"colecao","id","nome","arquivo","status","origem","url"
"OP16","OP16-041","Buggy","OP16-041 - Buggy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP16-041.png?260731"
"OP16","OP16-060","Sengoku","OP16-060 - Sengoku.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP16-060.png?260731"
"OP16","OP16-079","Yamato","OP16-079 - Yamato.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP16-079.png?260731"
"OP16","OP16-080","Marshall.D.Teach","OP16-080 - Marshall.D.Teach.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/OP16-080.png?260731"
"OP17","OP17-001","Edward.Newgate","OP17-001 - Edward.Newgate.png","OK","Bandai OP17","https://en.onepiece-cardgame.com/images/cardlist/card/OP17-001.png"
"OP17","OP17-020","Shanks","OP17-020 - Shanks.png","OK","Bandai OP17","https://en.onepiece-cardgame.com/images/cardlist/card/OP17-020.png"
"OP17","OP17-039","Rocks.D.Xebec","OP17-039 - Rocks.D.Xebec.png","OK","Bandai OP17","https://en.onepiece-cardgame.com/images/cardlist/card/OP17-039.png"
"OP17","OP17-058","Kaido","OP17-058 - Kaido.png","OK","Bandai OP17","https://en.onepiece-cardgame.com/images/cardlist/card/OP17-058.png"
"OP17","OP17-079","Monkey.D.Luffy","OP17-079 - Monkey.D.Luffy.png","OK","Bandai OP17","https://en.onepiece-cardgame.com/images/cardlist/card/OP17-079.png"
"OP17","OP17-099","Charlotte Linlin","OP17-099 - Charlotte Linlin.png","OK","Bandai OP17","https://en.onepiece-cardgame.com/images/cardlist/card/OP17-099.png"
"PRB01","PRB01-001","Sanji","PRB01-001 - Sanji.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/PRB01-001.png?260731"
"ST01","ST01-001","Monkey.D.Luffy","ST01-001 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST01-001.png?260731"
"ST02","ST02-001","Eustass""Captain""Kid","ST02-001 - Eustass_Captain_Kid.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST02-001.png?260731"
"ST03","ST03-001","Crocodile","ST03-001 - Crocodile.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST03-001.png?260731"
"ST04","ST04-001","Kaido","ST04-001 - Kaido.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST04-001.png?260731"
"ST05","ST05-001","Shanks","ST05-001 - Shanks.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST05-001.png?260731"
"ST06","ST06-001","Sakazuki","ST06-001 - Sakazuki.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST06-001.png?260731"
"ST07","ST07-001","Charlotte Linlin","ST07-001 - Charlotte Linlin.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST07-001.png?260731"
"ST08","ST08-001","Monkey.D.Luffy","ST08-001 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST08-001.png?260731"
"ST09","ST09-001","Yamato","ST09-001 - Yamato.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST09-001.png?260731"
"ST10","ST10-001","Trafalgar Law","ST10-001 - Trafalgar Law.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST10-001.png?260731"
"ST10","ST10-002","Monkey.D.Luffy","ST10-002 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST10-002.png?260731"
"ST10","ST10-003","Eustass""Captain""Kid","ST10-003 - Eustass_Captain_Kid.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST10-003.png?260731"
"ST11","ST11-001","Uta","ST11-001 - Uta.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST11-001.png?260731"
"ST12","ST12-001","Roronoa Zoro & Sanji","ST12-001 - Roronoa Zoro & Sanji.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST12-001.png?260731"
"ST13","ST13-001","Sabo","ST13-001 - Sabo.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST13-001.png?260731"
"ST13","ST13-002","Portgas.D.Ace","ST13-002 - Portgas.D.Ace.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST13-002.png?260731"
"ST13","ST13-003","Monkey.D.Luffy","ST13-003 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST13-003.png?260731"
"ST14","ST14-001","Monkey.D.Luffy","ST14-001 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST14-001.png?260731"
"ST21","ST21-001","Monkey.D.Luffy","ST21-001 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST21-001.png?260731"
"ST22","ST22-001","Ace & Newgate","ST22-001 - Ace & Newgate.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST22-001.png?260731"
"ST29","ST29-001","Monkey.D.Luffy","ST29-001 - Monkey.D.Luffy.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST29-001.png?260731"
"ST30","ST30-001","Luffy & Ace","ST30-001 - Luffy & Ace.png","OK","optcg-data / Bandai","https://en.onepiece-cardgame.com/images/cardlist/card/ST30-001.png?260731"
